"FON KODU"	"FON ADI"	"KATEGORİ"	"ALT KATEGORİ"	"FİYAT"	"RİSK DEĞERİ"	"GÜNLÜK"	"HAFTALIK"	"1AY"	"3AY"	"YBB"	"6AY"	"1YIL"	"3YIL"	"5YIL"	"STANDART SAPMA"	"DEĞİŞKENLİK KATSAYISI"	"SHARPE"	"AŞAĞI YÖNLÜ RİSK"	"NEGATİF GETİRİLİ GÜN SAYISI"	"NEGATİF GETİRİLİ GÜN ORANI"	"MAKSİMUM KAYIP"	"FONUN YAŞI"	"PORTFÖY BÜYÜKLÜĞÜ"	"YATIRIMCI SAYISI"	"YÖNETİM ÜCRETİ"	"AZAMİ FON İŞLETİM GİDERİ"	"TEDAVÜLDEKİ PAY ADETİ"	"DOLULUK ORANI"	"ALIŞ VALÖRÜ"	"SATIŞ VALÖRÜ"	"MİNİMUM ALIŞ MİKTARI"	"MAXİMUM ALIŞ MİKTARI"	"MİNİMUM SATIŞ MİKTARI"	"MAXİMUM SATIŞ MİKTARI"	"BANKA BONOSU"	"BYF KATILMA PAYI"	"DEVLET TAHVİLİ"	"DİĞER"	"DÖVİZ KAMU İÇ BORÇLANMA ARACI"	"DÖVİZ ÖDEMELİ BONO"	"DÖVİZ ÖDEMELİ TAHVİL"	"EUROBONDS"	"FİNANSMAN BONOSU"	"FON KATILMA BELGESİ"	"GAYRİMENKUL SERTİFİKASI"	"GAYRİMENKUL YATIRIM FON KATILMA PAYI"	"GİRİŞİM YATIRIM FON KATILMA PAYI"	"HAZİNE BONOSU"	"HİSSE SENEDİ"	"KAMU DIŞ BORÇLANMA ARACI"	"KAMU KİRA SERTİFİKASI"	"KAMU KİRA SERTİFİKASI DÖVİZ"	"KAMU KİRA SERTİFİKASI TL"	"KAMU YURT DIŞI KİRA SERTİFİKASI"	"KATILIM HESABI"	"KATILIM HESABI ALTIN"	"KATILIM HESABI DÖVİZ"	"KATILIM HESABI TL"	"KIYMETLİ MADEN"	"KIYMETLİ MADEN CİNSİNDEN BYF"	"KIYMETLİ MADEN KAMU BORÇLANMA ARACI"	"KIYMETLİ MADEN KAMU KİRA SERTİFİKASI"	"MEVDUAT ALTIN"	"MEVDUAT DÖVİZ"	"MEVDUAT TL"	"ÖZEL SEKTÖR YURT DIŞI KİRA SERTİFİKASI"	"ÖZEL SEKTÖR DIŞ BORÇ ARACI"	"ÖZEL SEKTÖR KİRA SERTİFİKASI"	"ÖZEL SEKTÖR TAHVİLİ"	"REPO"	"TAKASBANK PARA PİYASASI"	"TERS REPO"	"TÜREV ARACI"	"VADELİ İŞLEMLER NAKİT TEMİNATI"	"VADELİ MEVDUAT"	"VARLIĞA DAYALI MENKUL KIYMET"	"YABANCI BORÇLANMA ARACI"	"YABANCI BORSA YATIRIM FONU"	"YABANCI HİSSE SENEDİ"	"YABANCI KAMU BORÇLANMA ARACI"	"YABANCI MENKUL KIYMET"	"YABANCI ÖZEL SEKTÖR BORÇLANMA ARACI"	"YATIRIM FONLARI KATILMA PAYI"
"YDI"	"Yapı Kredi Portföy Model Portföy Hisse Senedi Fonu (hisse Senedi Yoğun Fon)"	"Hisse Senedi Fonları"	"Yerli Hisse Senedi Fonları"	"0.304129"	"6"	"3.3556"	"-0.8593"	"-2.9734"	"-11.9449"	"29.3704"	"-8.2265"	"30.3987"	"592.1146"	"1261.0606"	"22.73"	"0.75"	"-1.31"	"14.94"	"121"	"48.40"	"-24.39"	"12"	"1807740668"	"13969"	"3.45"	"3.65"	"5943999711"	"11.89"	"1"	"2"	"1"	"999999999999999"	"1"	"1000000000000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"93.10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4.31"	""	""	"0.02"	""	""	""	""	""	""	""	""	"2.57"
"YDK"	"Yapı Kredi Portföy Çalışan Hesap Kısa Vadeli Borçlanma Araçları Fonu"	"Borçlanma Araçları Fonları"	"Kısa Vadeli Borçlanma Araçları Fonları"	"0.057988"	"1"	"0.1364"	"0.8592"	"3.7872"	"12.0130"	"44.5724"	"25.8311"	"52.3274"	"127.5467"	"186.0638"	"1.81"	"0.03"	"-4.28"	"0.06"	"2"	"0.80"	"-0.05"	"12"	"88451596"	"50785"	"2.42"	"2.56"	"1525339238"	"0.49"	"0"	"0"	"0"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	"52.99"	""	""	""	""	""	"32.44"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2.53"	""	"2.33"	"9.05"	""	""	""	"0.66"	""	""	""	""	""	""	""
"YDP"	"Yapı Kredi Portföy Birinci Değişken Fon"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"1.085834"	"5"	"2.5717"	"-0.6635"	"0.2823"	"-2.5105"	"N/A"	"1.6319"	"N/A"	"N/A"	"N/A"	"18.17"	"0.75"	"-1.97"	"12.45"	"66"	"49.62"	"-14.17"	"12"	"238106560"	"3354"	"2.01"	"3.65"	"219284553"	"0.44"	"1"	"2"	"1"	"999999999999999"	"1"	"1000000000000000"	""	""	"10.56"	""	""	""	""	""	""	""	""	""	""	""	"67.12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.19"	"7.56"	""	"2.01"	""	""	""	"10.38"	""	""	""	""	"2.18"
"YEF"	"Yapı Kredi Portföy Bıst 30 Endeksi Hisse Senedi Fonu (Hisse Senedi Yoğun Fon)"	"Hisse Senedi Fonları"	"Endeks Hisse Senedi Fonları"	"0.550650"	"6"	"2.6006"	"-2.2658"	"-3.8326"	"-8.7973"	"28.3318"	"-9.8832"	"29.2478"	"507.7412"	"740.3406"	"23.59"	"0.81"	"-1.31"	"15.48"	"120"	"48.00"	"-21.53"	"23"	"1179854606"	"18718"	"2.01"	"2.19"	"2142656843"	"1.43"	"1"	"2"	"1"	"999999999999999"	"1"	"1000000000000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"93.68"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.20"	""	""	"0.70"	""	""	""	""	""	""	""	""	"0.42"
"YFV"	"Yapı Kredi Portföy Kira Sertifikaları Katılım Fonu"	"Katılım Fonları"	"Kira Sertifikası Fonları"	"0.055656"	"2"	"0.3028"	"0.6838"	"2.2881"	"9.1915"	"37.4222"	"20.5406"	"44.0932"	"150.4432"	"212.8323"	"2.11"	"0.05"	"-7.57"	"0.62"	"22"	"8.80"	"-0.46"	"10"	"248797777"	"6562"	"2.01"	"3.65"	"4470277715"	"8.94"	"1"	"1"	"1"	"999999999999999"	"1"	"1000000000000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2.67"	""	""	""	"50.80"	""	""	""	""	"3.28"	""	""	""	""	""	""	""	""	""	"43.25"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YHS"	"Yapı Kredi Portföy Birinci Hisse Senedi Fonu (Hisse Senedi Yoğun Fon)"	"Hisse Senedi Fonları"	"Yerli Hisse Senedi Fonları"	"15.700805"	"6"	"3.3533"	"-2.1799"	"-3.9924"	"-13.1868"	"29.6597"	"-13.9463"	"28.8937"	"550.6771"	"1096.2354"	"24.98"	"0.86"	"-1.25"	"16.57"	"123"	"49.20"	"-27.30"	"28"	"2457021976"	"15699"	"3.45"	"3.65"	"156490194"	"0.31"	"1"	"2"	"1"	"999999999999999"	"1"	"1000000000000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"92.37"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3.72"	""	""	"0.88"	""	""	""	""	""	""	""	""	"3.03"
"YHT"	"Yapı Kredi Portföy Kısa Vadeli Borçlanma Araçları (TL) Fonu"	"Borçlanma Araçları Fonları"	"Kısa Vadeli Borçlanma Araçları Fonları"	"0.207298"	"1"	"0.1406"	"0.8337"	"3.6402"	"11.8993"	"44.8512"	"25.4178"	"53.7351"	"124.4797"	"179.4828"	"1.87"	"0.03"	"-3.39"	"0.07"	"4"	"1.60"	"-0.04"	"22"	"819189044"	"86093"	"2.42"	"2.56"	"3951753592"	"7.90"	"0"	"0"	"0"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	"75.44"	""	""	""	""	""	"14.14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3.80"	""	""	"5.46"	""	""	""	"1.16"	""	""	""	""	""	""	""
"YKT"	"Yapı Kredi Portföy Altın Fonu"	"Kıymetli Madenler Fonları"	"Kıymetli Madenler Fonları"	"0.430691"	"6"	"-1.7235"	"-1.7349"	"4.3609"	"23.3277"	"58.8885"	"29.7368"	"76.0430"	"453.1324"	"995.7386"	"21.03"	"0.28"	"0.76"	"12.04"	"113"	"45.20"	"-7.37"	"14"	"18800471866"	"98718"	"2.01"	"2.19"	"43651878795"	"43.65"	"1"	"1"	"1"	"999999999999999"	"1"	"1000000000000000"	""	"3.27"	"51.86"	"2.51"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4.05"	""	""	"28.84"	""	""	""	""	""	""	"0.28"	""	""	""	""	"1.25"	""	""	""	"6.91"	"0.82"	""	""	""	"0.21"
"YLB"	"Yapı Kredi Portföy Para Piyasası Fonu"	"Para Piyasası Fonları"	"Para Piyasası Fonları"	"0.876147"	"1"	"0.1315"	"0.9202"	"4.1169"	"12.9096"	"48.9965"	"27.6855"	"57.5824"	"138.2084"	"206.2316"	"1.89"	"0.03"	"-1.32"	"0.00"	"0"	"0.00"	"0.00"	"24"	"47174369233"	"319621"	"1.48"	"1.65"	"53842995099"	"53.84"	"0"	"0"	"0"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	""	""	""	""	""	"0.74"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"23.03"	""	""	"0.04"	"1.40"	""	"9.81"	"64.98"	""	""	""	""	""	""	""	""	""	""	""
"YOA"	"Yapı Kredi Portföy PY Borçlanma Araçları (Döviz) Özel Fonu"	"Borçlanma Araçları Fonları"	"Yabancı Borçlanma Araçları Fonları"	"56.143214"	"6"	"-0.2908"	"-0.1429"	"0.0265"	"5.9467"	"25.4563"	"12.1430"	"36.4972"	"348.9316"	"753.7574"	"3.78"	"0.10"	"-6.24"	"1.94"	"66"	"26.40"	"-1.28"	"8"	"1480912344"	"158"	"1.50"	"3.65"	"26377406"	"0.05"	""	""	"Bilgi Yok"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"41.77"	""	"0.47"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"54.94"	""	""	""	"0.22"	""	""	"2.60"	""	""	""	""	""	""	""	""	""
"YOT"	"Yapı Kredi Portföy Orta Vadeli Borçlanma Araçları Fonu"	"Borçlanma Araçları Fonları"	"Orta Vadeli Borçlanma Araçları Fonları"	"23.094291"	"3"	"0.2509"	"-0.2652"	"0.3036"	"3.7635"	"29.4745"	"15.3178"	"40.4300"	"157.8595"	"218.6767"	"3.83"	"0.09"	"-5.12"	"1.62"	"66"	"26.40"	"-1.81"	"28"	"568814521"	"10370"	"3.00"	"3.65"	"24630092"	"0.05"	"1"	"1"	"1"	"999999999999999"	"1"	"1000000000000000"	""	""	"62.51"	""	""	""	""	""	"19.18"	""	""	""	""	""	"4.38"	"0.70"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3.97"	""	"0.76"	""	""	"1.90"	""	""	""	""	""	""	""	""	"6.60"
"YPV"	"Yapı Kredi Portföy Üçüncü Fon Sepeti Fonu"	"Fon Sepeti Fonları"	"Diğer Fon Sepeti Fonlar"	"5.402694"	"7"	"1.4833"	"-0.3099"	"-0.7781"	"7.7920"	"32.2337"	"4.5588"	"41.2854"	"243.7856"	"N/A"	"16.44"	"0.40"	"-1.14"	"10.51"	"112"	"44.80"	"-9.68"	"4"	"8270694146"	"5831"	"3.00"	"4.38"	"1530846165"	"3.06"	"1"	"3"	"1"	"999999999999999"	"1"	"1000000000000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8.66"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2.39"	""	""	""	"22.17"	""	""	""	""	"66.78"
"YSU"	"Yapı Kredi Portföy Üçüncü Değişken Fon"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"0.097639"	"4"	"0.9168"	"-0.2656"	"0.7398"	"2.9198"	"33.6989"	"10.9458"	"42.2749"	"293.0084"	"402.5685"	"7.02"	"0.17"	"-2.54"	"3.69"	"100"	"40.00"	"-2.82"	"11"	"179588821"	"8246"	"1.50"	"3.65"	"1839315728"	"3.68"	"1"	"1"	"1"	"999999999999999"	"1"	"1000000000000000"	""	""	"63.51"	""	""	""	""	""	""	""	""	""	""	""	"23.61"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.27"	""	""	"6.68"	""	"2.35"	""	""	""	""	""	""	""	""	"3.58"
"YTD"	"Yapı Kredi Portföy Yabancı Fon Sepeti Fonu"	"Fon Sepeti Fonları"	"Yabancı Fon Sepeti Fonları"	"0.478428"	"6"	"0.4812"	"0.6001"	"2.3038"	"17.3751"	"34.1536"	"20.6427"	"53.2078"	"297.9770"	"732.0921"	"11.85"	"0.22"	"-0.58"	"6.91"	"93"	"37.20"	"-7.24"	"17"	"713580137"	"17107"	"2.00"	"4.38"	"1491511100"	"2.98"	"1"	"3"	"1"	"999999999999999"	"1"	"1000000000000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1.38"	""	""	""	"90.93"	""	""	""	""	"7.69"
"ZAY"	"Kuveyt Türk Portföy Sepet Hesap Para Piyasası Katılım (TL) Fonu"	"Katılım Fonları"	"Katılım Para Piyasası Fonları"	"3.392688"	"2"	"0.1187"	"0.8357"	"3.7499"	"11.5679"	"61.6688"	"31.2180"	"79.1511"	"180.7743"	"N/A"	"2.56"	"0.03"	"7.45"	"0.00"	"0"	"0.00"	"0.00"	"4"	"3373919293"	"8948"	"1.00"	"1.65"	"994467868"	"1.99"	"0"	"0"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	""	""	""	"100.00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"ZBD"	"Ziraat Portföy Dengeli Değişken Fon"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"427.666467"	"5"	"1.0698"	"-1.0917"	"0.6772"	"-4.1068"	"25.7917"	"-1.7133"	"27.8105"	"277.0153"	"442.0485"	"13.47"	"0.48"	"-2.39"	"9.28"	"107"	"42.80"	"-12.12"	"32"	"622376337"	"2167"	"1.75"	"3.65"	"1455284"	"0.01"	"1"	"2"	"1"	"10000000000"	"1"	"10000000000"	""	"4.11"	""	""	""	""	""	""	"3.39"	""	""	""	""	""	"41.57"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.44"	""	""	""	"17.97"	""	""	"11.68"	""	"2.48"	""	""	""	""	""	""	""	""	"13.36"
"ZDD"	"Ziraat Portföy Temkinli Değişken Fon"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"3.850751"	"3"	"0.2492"	"0.1730"	"2.7340"	"6.0546"	"42.5095"	"15.9411"	"48.0202"	"193.3577"	"N/A"	"5.83"	"0.12"	"-2.07"	"3.05"	"78"	"31.20"	"-2.11"	"4"	"334178110"	"1231"	"1.40"	"3.65"	"86782578"	"0.09"	"1"	"2"	"5"	"1000000000"	"1"	"1000000000"	""	"1.15"	""	""	""	""	""	""	"19.17"	""	""	""	""	""	"8.49"	""	""	""	""	""	""	""	""	""	""	"1.41"	""	""	""	""	"4.52"	""	""	""	"10.79"	""	""	"38.08"	""	"0.97"	""	""	""	""	""	""	""	""	"15.42"
"ZDZ"	"Ziraat Portföy Agresif Değişken Fon"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"9.200470"	"7"	"3.4580"	"-1.7777"	"-0.5296"	"-14.8579"	"49.5499"	"-1.4842"	"26.5449"	"550.5570"	"N/A"	"29.90"	"1.13"	"-1.12"	"21.90"	"100"	"40.00"	"-24.52"	"4"	"1059841291"	"15230"	"2.25"	"3.65"	"115194255"	"0.12"	"1"	"2"	"5"	"1000000000"	"1"	"1000000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"80.36"	""	""	""	"0.03"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2.95"	"-4.25"	""	"0.03"	""	"7.42"	""	""	""	""	""	""	""	""	"13.46"
"ZPC"	"Ziraat Portföy Fon Sepeti Fonu"	"Fon Sepeti Fonları"	"Diğer Fon Sepeti Fonlar"	"11.716430"	"4"	"0.9697"	"-1.3537"	"0.4875"	"-1.7444"	"29.3710"	"4.7123"	"29.8539"	"342.8825"	"577.8572"	"13.43"	"0.45"	"-2.25"	"9.04"	"108"	"43.20"	"-8.07"	"9"	"2053361805"	"3640"	"1.00"	"4.38"	"175254899"	"0.44"	"1"	"2"	"5"	"10000000000"	"1"	"10000000000"	""	"8.98"	""	""	""	""	""	""	""	""	""	""	"1.20"	""	"2.90"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.04"	""	"1.95"	""	""	""	""	"6.14"	""	""	""	"78.78"
"ZPE"	"Ziraat Portföy Katılım Hisse Senedi Fonu (Hisse Senedi Yoğun Fon)"	"Katılım Fonları"	"Hisse Katılım Fonları"	"19.897767"	"6"	"2.2513"	"-0.2402"	"-1.1886"	"-5.3700"	"21.3149"	"-8.1431"	"16.5697"	"494.3185"	"1280.8429"	"22.58"	"1.36"	"-1.93"	"15.87"	"115"	"46.00"	"-17.82"	"9"	"747842484"	"7663"	"2.25"	"3.65"	"37584242"	"0.09"	"1"	"2"	"5"	"10000000000"	"1"	"10000000000"	""	"12.10"	""	""	""	""	""	""	""	""	""	""	""	""	"81.66"	""	""	""	""	""	""	""	""	"6.25"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"ZPF"	"Ziraat Portföy Katılım Fonu (Döviz)"	"Katılım Fonları"	"Katılım Döviz Fonları"	"14.773491"	"6"	"-0.2473"	"-0.0355"	"0.5791"	"5.5759"	"25.1771"	"11.5987"	"33.9551"	"287.5466"	"568.3809"	"3.29"	"0.10"	"-7.95"	"1.73"	"59"	"23.60"	"-1.25"	"9"	"812755750"	"3845"	"1.00"	"3.65"	"55014470"	"0.14"	"1"	"3"	"5"	"10000000000"	"1"	"10000000000"	""	""	""	"9.81"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"66.35"	""	""	""	"0.48"	""	""	""	""	""	""	""	""	"23.02"	"0.34"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"ZPG"	"Ziraat Portföy Kira Sertifikaları (Sukuk) Katılım Fonu"	"Katılım Fonları"	"Kira Sertifikası Fonları"	"5.512816"	"2"	"0.0873"	"0.7338"	"3.3902"	"11.0320"	"41.3760"	"23.6108"	"49.0833"	"152.4151"	"223.4268"	"1.61"	"0.03"	"-6.81"	"0.00"	"0"	"0.00"	"0.00"	"9"	"533151556"	"4142"	"1.50"	"3.65"	"96711297"	"0.19"	"1"	"1"	"5"	"10000000000"	"1"	"10000000000"	""	""	""	"6.39"	""	""	""	""	""	""	""	"0.19"	""	""	""	""	""	""	""	"5.68"	""	""	""	""	""	""	""	""	""	""	""	""	""	"87.75"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"ZPK"	"Ziraat Portföy Kısa Vadeli Kira Sertifikası Katılım (TL) Fonu"	"Katılım Fonları"	"Kira Sertifikası Fonları"	"4.252069"	"1"	"0.1134"	"0.7919"	"3.6267"	"11.2289"	"42.8738"	"24.4384"	"50.7027"	"127.3036"	"189.4172"	"1.70"	"0.03"	"-5.50"	"0.00"	"0"	"0.00"	"0.00"	"7"	"6005821508"	"18062"	"1.50"	"2.54"	"1412446952"	"1.41"	"0"	"0"	"Bilgi Yok"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	"9.40"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.87"	""	""	""	""	""	""	""	""	""	"84.73"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"BRG"	"TEB Portföy Burgan Bank Para Piyasası (TL) Fonu"	"Para Piyasası Fonları"	"Para Piyasası Fonları"	"2.463793"	"1"	"0.1335"	"0.9320"	"4.1607"	"13.0757"	"49.0008"	"27.8053"	"57.8400"	"141.6739"	"N/A"	"1.91"	"0.03"	"-1.17"	"0.06"	"1"	"0.40"	"-0.06"	"3"	"1863402211"	"1602"	"0.90"	"1.65"	"756314572"	"75.63"	"0"	"0"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	""	""	""	"0.41"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3.19"	""	""	""	"2.36"	""	""	"94.04"	""	""	""	""	""	""	""	""	""	""	""
"OLD"	"QNB Finans Portföy Temiz Enerji Ve Su Fon Sepeti Fonu"	"Fon Sepeti Fonları"	"Diğer Fon Sepeti Fonlar"	"2.044194"	"6"	"1.0915"	"0.8562"	"0.8535"	"2.5829"	"4.9266"	"-2.0339"	"18.7062"	"N/A"	"N/A"	"18.28"	"0.98"	"-2.26"	"11.80"	"122"	"48.80"	"-9.61"	"3"	"76720917"	"2185"	"2.50"	"4.38"	"37531138"	"3.75"	"1"	"3"	"1"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"16.48"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3.04"	""	""	""	""	""	""	"74.38"	"6.10"	""	""	""	""
"OJT"	"QNB Finans Portföy Teknoloji Fon Sepeti Fonu"	"Fon Sepeti Fonları"	"Diğer Fon Sepeti Fonlar"	"5.870078"	"6"	"2.1053"	"-0.1257"	"2.6964"	"11.8180"	"36.0563"	"12.2982"	"53.8918"	"343.9357"	"N/A"	"18.00"	"0.33"	"-0.34"	"12.55"	"105"	"42.00"	"-13.71"	"3"	"2815320344"	"20276"	"2.95"	"4.38"	"479605304"	"47.96"	"1"	"3"	"1"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"15.14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.50"	""	""	""	""	""	""	"80.18"	""	""	""	""	"4.18"
"OJK"	"QNB Finans Portföy Altın Fonu"	"Kıymetli Madenler Fonları"	"Kıymetli Madenler Fonları"	"6.177593"	"6"	"-1.5907"	"-1.8151"	"4.3554"	"20.8852"	"59.1322"	"26.2013"	"72.9819"	"442.5776"	"N/A"	"19.89"	"0.27"	"0.65"	"11.54"	"110"	"44.00"	"-6.38"	"3"	"15748666018"	"23079"	"2.00"	"2.19"	"2549320830"	"50.99"	"1"	"1"	"1"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.69"	""	""	""	""	""	""	""	""	""	"17.71"	""	"21.00"	"32.92"	""	""	""	""	""	""	""	""	"3.17"	"8.93"	""	"4.23"	""	""	""	""	"10.27"	""	""	""	"1.08"
"OFS"	"Oyak Portföy Birinci Fon Sepeti Fonu"	"Fon Sepeti Fonları"	"Diğer Fon Sepeti Fonlar"	"4.441870"	"4"	"0.3726"	"-0.0679"	"0.2682"	"7.6466"	"35.5966"	"14.7382"	"42.4075"	"272.7755"	"N/A"	"7.85"	"0.19"	"-2.25"	"4.33"	"93"	"37.20"	"-2.89"	"3"	"123632908"	"443"	"0.50"	"4.38"	"27833524"	"5.57"	"1"	"2"	"1"	"10000000"	"1"	"10000000"	""	"2.92"	""	"7.28"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4.37"	""	""	""	""	""	""	""	"46.20"	""	""	""	"39.23"
"NZT"	"Neo Portföy Para Piyasası Serbest Fon"	"Para Piyasası Serbest Fonları"	"Para Piyasası Serbest Fonları"	"2.896896"	"1"	"0.1296"	"0.9100"	"4.0699"	"12.8120"	"49.2189"	"27.7677"	"58.8041"	"112.3424"	"N/A"	"1.86"	"0.03"	"-0.68"	"0.00"	"0"	"0.00"	"0.00"	"3"	"3720007292"	"186"	"2.00"	""	"1284135632"	"6.42"	"0"	"0"	"1"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	"0.95"	""	""	""	""	"9.41"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1.00"	""	""	"0.27"	"2.24"	""	""	"85.92"	""	""	""	"0.21"	""	""	""	""	""	""	""
"NZH"	"Neo Portföy İkinci Değişken Fon"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"1.886842"	"6"	"1.7694"	"-6.4805"	"-10.4840"	"-13.5267"	"-3.8564"	"-14.8968"	"1.8316"	"64.6209"	"N/A"	"21.58"	"11.78"	"-2.70"	"16.55"	"87"	"34.80"	"-23.22"	"3"	"2863172"	"151"	"2.25"	"3.65"	"1517441"	"0.15"	"1"	"2"	"1"	"10000000000"	"1"	"Bilgi Yok"	""	"6.92"	""	""	""	""	""	""	""	""	""	""	""	""	"83.12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.68"	""	""	""	""	""	""	""	""	"7.03"	""	""	""	""	""	""	""	""	"2.25"
"NRG"	"Neo Portföy Birinci Para Piyasası Fonu"	"Para Piyasası Fonları"	"Para Piyasası Fonları"	"2.627394"	"1"	"0.1337"	"0.9414"	"4.2121"	"13.2002"	"50.0793"	"28.3028"	"59.5063"	"N/A"	"N/A"	"1.90"	"0.03"	"-0.30"	"0.00"	"0"	"0.00"	"0.00"	"3"	"6332910751"	"5422"	"1.30"	"1.65"	"2410339207"	"4.82"	"0"	"0"	"1"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	"0.95"	""	""	""	""	"9.84"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1.61"	""	""	"0.32"	"1.89"	""	""	"85.27"	""	""	""	"0.12"	""	""	""	""	""	""	""
"OPL"	"Osmanlı Portföy İkinci Değişken Fon"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"4.870976"	"4"	"-0.5150"	"-1.3784"	"0.9475"	"5.9161"	"35.1194"	"10.4716"	"39.8134"	"307.2144"	"N/A"	"8.72"	"0.22"	"-2.32"	"5.17"	"95"	"38.00"	"-3.25"	"3"	"17411020"	"231"	"1.40"	"3.65"	"3574442"	"3.57"	"1"	"1"	"1"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	""	"36.12"	""	""	""	"20.28"	""	""	""	""	""	"28.18"	""	""	""	""	""	""	""	""	""	""	"4.81"	""	""	""	""	""	""	""	"0.73"	"3.19"	""	""	""	""	"1.80"	""	""	""	""	""	""	""	""	"4.89"
