Fon Kodu,Fon Adı,Fon Tipi,Fon Türü,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşı (%),1 Yıl (%),3 Yıl (%),5 Yıl (%),İlk Fiyat (TL),Son Fiyat (TL),Günlük Getiri (%),Pay (Adet),Fon Toplam Değer (TL),Kategorisi,Yatırımcı Sayısı (Kişi),Pazar Payı(%),Borsa Yatırım Fonları Katılma Payları(%),Devlet Tahvili(%),Diğer(%),Döviz Cinsi Kamu İç Borçlanma Araçları(%),Finansman Bonosu(%),Gayrimenkul Yatırım Fonları Katılma Payları(%),Girişim Sermayesi Yatırım Fonları Katılma Payları(%),Hazine Bonosu(%),Hisse Senedi(%),Katılma Hesabı(Altın),Katılma Hesabı(TL)(%),Katılma Hesabı(Döviz)(%),Kamu Yurt Dışı Kira Sertifikaları(%),Kamu Dış Borçlanma Araçları(%),Kamu Kira Sertifikaları Döviz (%),Kamu Kira Sertifikaları TL (%),Kıymetli Madenler Cinsinden BYF(%),Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları(%),Kıymetli Madenler Cinsinden İhraç Edilen Kamu Borçlanma Araçları(%),Kıymetli Madenler(%),Mevduat Döviz(%),Mevduat (TL)(%),Özel Sektör Dış Borçlanma Araçları(%),Özel Sektör Kira Sertifikaları(%),Özel Sektör Tahvili(%),Özel Sektör Yurt Dışı Kira Sertifikaları(%),Repo(%),Takasbank Para Piyasası(%),Ters-Repo(%),Vadeli İşlemler Nakit Teminatları(%),Varlığa Dayalı Menkul Kıymetler (%),Yabancı Borsa Yatırım Fonları(%),Yabancı Hisse Senedi(%),Yabancı Kamu Borçlanma Araçları(%),Yabancı Özel Sektör Borçlanma Araçları(%),Yatırım Fonları Katılma Payları(%),Toplam(%)
KDL,KUVEYT TÜRK PORTFÖY BEŞİNCİ KATILIM SERBEST (DÖVİZ) FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,0.9059,4.7986,6.5932,16.9222,28.8357,,,,36.1188,0.0334,"950,918,477","34,346,075,516.56",Serbest Fon,"8,633",1.71,,,,,,,,,,,,93.85,,,,,,,,,,,,,,6.12,,,,,,,,,,0.03,100.00
FID,FİBA PORTFÖY ÇOKLU VARLIK İKİNCİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,-2.688,-4.9846,12.0218,26.6078,28.5254,447.1478,839.0499,,0.7287,-0.1987,"2,559,450,593","1,865,105,952.27",Değişken Fon,"3,691",3.26,,0.25,,,,,2.89,,70.81,,,,,1.17,,,,,,,,1.1,10.91,,0.02,,,1.54,1.61,2.69,,,,,,7.01,100.00
ZLH,ZİRAAT PORTFÖY BIST 100-30 ŞİRKETLERİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-4.4962,-7.0898,12.9956,40.1298,28.0611,766.3778,,,8.5255,-0.0515,"41,960,200","357,732,250.91",Hisse Senedi Fonu,"5,195",0.21,,,,,,,,,96.20,,,,,,,,,,,,,,,,,,,,3.79,,,,,,,0.01,100.00
BID,QNB FİNANS PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-6.2521,-12.1221,5.2215,35.9892,27.8889,,,,2.4012,-0.1458,"200,621,846","481,729,941.51",Hisse Senedi Fonu,"3,969",0.28,,,,,,,,,94.22,,,,,,,,,,,,,,,,,,,4,,1.78,,,,,,,100.00
ARE,İSTANBUL PORTFÖY YABANCI (GELİŞMEKTE OLAN PİYASALAR) BORÇLANMA ARAÇLARI FONU,Menkul Kıymet Yatırım Fonları,Borçlanma Araçları Şemsiye Fonu,1.8797,6.75,7.9744,14.6375,27.8832,183.5042,313.6968,,0.1495,0.2783,"112,175,306","16,771,608.09",Borçlanma Araçları Fonu,"1,646",0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.7,36.3,,100.00
ZJL,ZİRAAT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-6.5807,-13.1954,-2.4291,30.7245,27.4897,680.7148,,,8.0991,-0.4607,"36,941,700","299,194,458.49",Hisse Senedi Fonu,"4,572",0.17,,,,,,,,,95.43,,,,,,,,,,,,,,,,,,,,4.56,,,,,,,0.01,100.00
IDD,LOGOS PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,-0.1579,-2.9414,9.9833,33.3899,27.3717,174.0454,309.8318,,0.1006,0.0000,"218,790,526","22,009,161.06",Serbest Fon,27,0.00,,,,,,,,,64.81,,,,,,,,,,,,,,,,0.05,,,35.14,,,,,,,,,100.00
OPI,OSMANLI PORTFÖY İKİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-4.2323,-8.0869,9.4698,35.7782,27.283,704.147,,,17.3608,0.0566,"14,117,842","245,097,108.41",Hisse Senedi Fonu,"2,037",0.14,0.04,,0.81,,,,,,96.38,,,,,,,,,,,,,,,,,,,2.77,,,,,,,,,100.00
RBH,ALBARAKA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-1.6125,-0.7303,9.9809,31.9446,27.1389,580.0692,1606.8224,,18.2610,-0.9763,"42,362,796","773,588,005.29",Hisse Senedi Fonu,"5,636",0.44,,,,,,,,,93.52,,0.50,,,,,,,,,,,,,5.98,,,,,,,,,,,,,100.00
YHB,YAPI KREDİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-6.2759,-10.7933,-0.0955,23.491,27.0353,,,,1.3563,0.0012,"227,691,137","308,812,801.46",Hisse Senedi Fonu,"12,954",0.18,,,,,,,,,97.76,,,,,,,,,,,,,,,,,,,1.58,,0.66,,,,,,,100.00
