Fon Kodu,Fon Adı,Fon Tipi,Fon Türü,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşı (%),1 Yıl (%),3 Yıl (%),5 Yıl (%),İlk Fiyat (TL),Son Fiyat (TL),Günlük Getiri (%),Pay (Adet),Fon Toplam Değer (TL),Kategorisi,Yatırımcı Sayısı (Kişi),Pazar Payı(%),Borsa Yatırım Fonları Katılma Payları(%),Devlet Tahvili(%),Diğer(%),Döviz Cinsi Kamu İç Borçlanma Araçları(%),Finansman Bonosu(%),Gayrimenkul Yatırım Fonları Katılma Payları(%),Girişim Sermayesi Yatırım Fonları Katılma Payları(%),Hazine Bonosu(%),Hisse Senedi(%),Katılma Hesabı(Altın),Katılma Hesabı(TL)(%),Katılma Hesabı(Döviz)(%),Kamu Yurt Dışı Kira Sertifikaları(%),Kamu Dış Borçlanma Araçları(%),Kamu Kira Sertifikaları Döviz (%),Kamu Kira Sertifikaları TL (%),Kıymetli Madenler Cinsinden BYF(%),Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları(%),Kıymetli Madenler Cinsinden İhraç Edilen Kamu Borçlanma Araçları(%),Kıymetli Madenler(%),Mevduat Döviz(%),Mevduat (TL)(%),Özel Sektör Dış Borçlanma Araçları(%),Özel Sektör Kira Sertifikaları(%),Özel Sektör Tahvili(%),Özel Sektör Yurt Dışı Kira Sertifikaları(%),Repo(%),Takasbank Para Piyasası(%),Ters-Repo(%),Vadeli İşlemler Nakit Teminatları(%),Varlığa Dayalı Menkul Kıymetler (%),Yabancı Borsa Yatırım Fonları(%),Yabancı Hisse Senedi(%),Yabancı Kamu Borçlanma Araçları(%),Yabancı Özel Sektör Borçlanma Araçları(%),Yatırım Fonları Katılma Payları(%),Toplam(%)
KTR,KUVEYT TÜRK PORTFÖY BİRİNCİ KATILIM SERBEST (TL) FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,3.7768,11.4105,25.7179,36.667,51.2692,133.6257,206.8842,,5.0111,0.3559,"2,244,044,849","11,245,085,932.89",Serbest Fon,226,0.57,,,,,,,,,,,98.59,,,,,,,,,,,,,,,,,,,,,,,,,1.41,100.00
KVS,AZİMUT PORTFÖY KISA VADELİ SERBEST (TL) FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,3.8446,11.3671,24.8392,35.9739,51.2477,,,,1.6968,0.3470,"630,491,118","1,069,823,883.39",Serbest Fon,113,0.05,,,11.19,,31.85,,,,,,,,,,,,,,,,,18.67,,1.25,36.36,,,,,,0.68,,,,,,100.00
DBZ,DENİZ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Menkul Kıymet Yatırım Fonları,Borçlanma Araçları Şemsiye Fonu,4.0873,11.7903,25.3232,36.5119,51.2017,121.9701,187.7921,,0.0645,0.3784,"2,095,023,200","135,064,348.63",Borçlanma Araçları Fonu,"1,988",0.15,,,6.88,,43.34,,,,,,,,,,2.59,,,,,,,0.1,,,32.16,,,,11.89,,3.04,,,,,,100.00
RIK,RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,2.6923,8.5637,15.0773,27.382,51.0512,,,,2.4773,0.0115,"44,382,784","109,948,124.12",Değişken Fon,"1,581",0.19,,,1.11,,17.39,,10.60,,2.19,,,,,39.33,,,,,,,,,12.98,,0.92,,,5.18,,2.55,,,5.91,,,1.84,100.00
TI7,İŞ PORTFÖY DENGELİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,-1.7259,1.6099,13.0215,27.7392,51.0478,331.2642,478.9885,,51.0923,0.1092,"27,086,196","1,383,895,027.48",Değişken Fon,"16,814",2.41,,,,,,2.38,4.22,,37.85,,,,,,,,,,,,,,,,0.04,,,,4.46,13.52,,6.37,31.12,0.01,,0.03,100.00
MBL,MEKSA PORTFÖY İKİNCİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,4.1532,12.197,26.5495,37.9092,51.0283,84.0826,125.3695,,0.1333,0.3666,"27,206,740","3,627,632.20",Değişken Fon,294,0.01,,,,,13.81,,,,,,,,,,,,,,,,,,,,7.64,,,19.92,55.34,3.29,,,,,,,100.00
IFV,ICBC TURKEY PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Menkul Kıymet Yatırım Fonları,Borçlanma Araçları Şemsiye Fonu,3.9997,12.1014,26.0168,36.5753,50.9692,,,,2.1836,1.2859,"3,598,591","7,857,737.50",Borçlanma Araçları Fonu,122,0.01,,,,,78.91,,,,,,,,,,,,,,,,,,,,3.83,,,3.77,12.67,,0.82,,,,,,100.00
KSV,KUVEYT TÜRK PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,3.8315,11.3365,25.4051,36.2358,50.8838,126.0844,,,2.7833,0.3681,"14,009,024,624","38,991,253,383.26",Serbest Fon,"5,527",1.97,,,47.11,,,,,,,,41.28,,,,,,,,,,,,,11.61,,,,,,,,,,,,,100.00
TCF,TEB PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Menkul Kıymet Yatırım Fonları,Fon Sepeti Şemsiye Fonu,3.642,11.5621,26.3613,38.9285,50.7082,,,,2.1059,0.2027,"1,874,929,646","3,948,409,406.77",Fon Sepeti Fonu,"2,967",5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,2.52,8.54,,17.75,,,,68.84,100.00
AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,Menkul Kıymet Yatırım Fonları,Borçlanma Araçları Şemsiye Fonu,3.9421,11.4317,24.4845,35.8782,50.6915,128.9537,195.1527,,0.0647,0.3676,"16,314,334,090","1,055,588,628.29",Borçlanma Araçları Fonu,"12,362",1.21,,1.75,,,26.45,,,,,,,,,,,,,,,,,1.44,,1.44,52.25,,,0.04,14.08,,2.55,,,,,,100.00
GAF,INVEO PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-1.9442,-5.9673,15.9717,50.1665,50.6319,859.3335,1258.1169,,1.0938,-0.6058,"179,266,860","196,080,614.87",Hisse Senedi Fonu,"3,141",0.11,,,,,,,,,86.57,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,9.13,100.00
TFF,TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU,Menkul Kıymet Yatırım Fonları,Fon Sepeti Şemsiye Fonu,2.0966,4.8745,9.7345,24.8294,50.5667,316.3538,759.4127,,20.9247,0.0855,"42,421,343","887,652,688.41",Yabancı Fon Sepeti Fonu,"12,978",1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.53,,,,92.47,,,,,100.00
ADE,AK PORTFÖY DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,3.866,11.4381,24.9342,35.526,50.5264,121.7593,179.9765,,0.4660,0.3249,"379,190,465","176,693,604.80",Değişken Fon,"26,337",0.31,,17.34,,,23.63,,,,,,,,,,,,,,,,,0.35,,,20,,,4.72,19.89,,,,,,,14.07,100.00
ICC,ICBC TURKEY PORTFÖY İKİNCİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,1.4638,4.4577,20.7464,41.9165,50.5152,425.2934,622.3864,,0.7692,0.0394,"61,367,872","47,204,656.89",Değişken Fon,414,0.08,,,,,35.52,,,,39.56,,,,,,,,7.75,,,,,,,,,,,0.51,4.26,6.89,0.65,,,,,4.86,100.00
YHZ,YAPI KREDİ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-6.2059,-5.2503,-11.3468,37.3936,50.4481,371.9685,,,4.1536,-0.5074,"146,174,538","607,155,761.91",Hisse Senedi Fonu,"27,647",0.35,,,,,,,,,94.68,,,,,,,,,,,,,,,,,,,,,1.92,,,,,,3.4,100.00
IRV,İSTANBUL PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,1.7856,7.3026,22.2544,36.5726,50.4147,,,,3.5916,0.3515,"72,493,219","260,366,801.48",Serbest Fon,11,0.01,,,,,38.73,,,,11.35,,,,,,,,,,,,,,,,,,,,,10.25,,,,,,39.67,100.00
TE3,TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,3.469,10.1535,23.6785,35.7546,50.2909,189.3523,285.2609,,18.6467,0.4242,"24,829,731","649,458,388.14",Değişken Fon,"2,322",1.13,,9.21,1.03,,3.57,,,,,,,,,3.22,,,,,,,,,,,23.9,,,1.37,29.48,8.49,,,,,,19.73,100.00
KRC,KARE PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Menkul Kıymet Yatırım Fonları,Borçlanma Araçları Şemsiye Fonu,3.8085,11.5845,25.3812,35.8044,50.18,130.9873,219.683,,0.0737,0.3337,"295,487,970","21,768,656.61",Borçlanma Araçları Fonu,185,0.02,,,,,64.94,,,,,,,,,,,,,,,,,,,,21.39,,,,,13.67,,,,,,,100.00
GTF,AZİMUT PYŞ BİRİNCİ BORÇLANMA ARAÇLARI FONU,Menkul Kıymet Yatırım Fonları,Borçlanma Araçları Şemsiye Fonu,7.2464,13.7405,25.3919,36.2547,50.1729,141.4891,224.9367,,8.3131,0.4322,"11,870,617","98,682,205.94",Borçlanma Araçları Fonu,750,0.11,,81.76,,,,,,,,,,,,,,,,,,,,,,,1.07,,,16.14,,1.03,,,,,,,100.00
IPG,İŞ PORTFÖY ATAK FON SEPETİ FONU,Menkul Kıymet Yatırım Fonları,Fon Sepeti Şemsiye Fonu,2.1864,2.6357,12.4902,27.2142,50.1512,238.3497,334.0619,,5.7088,0.4533,"72,391,522","413,269,472.02",Fon Sepeti Fonu,"2,974",0.60,19.58,5.05,,,,2.67,1.87,,6.79,,,,,,,,13.18,,,,,,,,,,,,,2.55,,20.86,,,,27.45,100.00
GBH,GARANTİ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,-4.4512,-10.5284,12.0811,40.9169,50.1447,,,,2.7108,-0.4809,"986,461,114","2,674,101,192.66",Serbest Fon,"4,694",0.13,,,,,,,,,89.48,,,,,,,,,,,,,,,,,,,0.03,,9.4,,,,,,1.09,100.00
TOT,TEB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Menkul Kıymet Yatırım Fonları,Borçlanma Araçları Şemsiye Fonu,3.9672,11.8773,25.8108,36.7475,50.1447,116.1834,181.7506,,445.7310,0.3706,"361,191","160,994,028.47",Borçlanma Araçları Fonu,"1,273",0.18,,0.12,23.42,,27.15,,,,,,,,,,,,,,,,,,,4.14,29.06,,,1.17,14.94,,,,,,,,100.00
ECA,GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,0.7257,3.5451,25.6421,41.3867,50.136,517.6997,904.0114,,1.0776,-0.0361,"19,713,794","21,243,854.98",Değişken Fon,582,0.04,,,,,13.62,,,,46.10,,,,,,,,,,,,,,,,,,,,,33.68,,,,,,6.6,100.00
BDC,AURA PORTFÖY BODRUM SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,5.9916,6.3002,27.6977,44.9363,50.0686,,,,4.4716,0.8259,"51,881,158","231,992,553.34",Serbest Fon,60,0.01,,,,,3.58,,4.20,,28.38,,,,,,,,,,,,0.02,0.09,,,12.93,,,,,29.97,,,,,,20.83,100.00
ONN,AKTİF PORTFÖY AKTİF ONİKS SERBEST (TL) FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,3.3916,10.1655,23.1551,34.6493,50.028,127.2034,,,2.8651,0.1906,"60,643,654","173,749,205.42",Serbest Fon,103,0.01,,,,,20.18,,,,,,,,,,,,,,,,,,,,,,,,,,7.38,,,,,72.44,100.00
MPK,AKTİF PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Menkul Kıymet Yatırım Fonları,Katılım Şemsiye Fonu,3.5611,10.6814,22.5455,32.5824,50.0229,147.9187,224.728,,4.6741,0.3309,"28,439,560","132,929,517.08",Karma Fon,"1,313",0.10,,1.62,,,,2.62,2.35,,,,9.17,,,,,,,,,,,,,83.48,,,,,,,,,,,,0.76,100.00
KTS,KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,-1.1472,0.7237,20.5115,38.1276,49.9962,367.8165,468.1464,,8.7914,-0.7178,"16,400,432","144,182,905.03",Serbest Fon,478,0.01,,,,,,,,,72.30,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7,100.00
ODP,OSMANLI PORTFÖY BİRİNCİ SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,2.186,4.1217,9.9587,27.0455,49.9684,,,,3.1840,-0.1117,"46,652,315","148,541,086.74",Serbest Fon,124,0.01,,,,,,,,,,,,,,,,,,,,,6.43,0.04,,,,,,,,5.44,,,80.91,,,7.18,100.00
OSL,OSMANLI PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Menkul Kıymet Yatırım Fonları,Borçlanma Araçları Şemsiye Fonu,3.9666,11.6647,25.4028,36.1116,49.8199,119.1902,187.5809,,0.0718,0.4058,"5,114,331,857","366,961,169.62",Borçlanma Araçları Fonu,"3,950",0.42,,19.38,0.15,,36.95,,,,,,,,,,,0.46,,,,,,,,1.6,25.32,,,15.06,,,1.08,,,,,,100.00
OLE,OSMANLI PORTFÖY BİRİNCİ FON SEPETİ FONU,Menkul Kıymet Yatırım Fonları,Fon Sepeti Şemsiye Fonu,4.1672,12.0415,25.4253,36.1126,49.7865,,,,2.2340,0.3869,"10,289,345","22,986,705.44",Fon Sepeti Fonu,198,0.03,,,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,100.00
FSH,FİBA PORTFÖY FON SEPETİ SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,0.1794,-0.4542,7.1714,24.9163,49.5623,,,,2.1679,-0.8578,"187,908,493","407,364,855.13",Serbest Fon,682,0.02,,,,,,,0.80,,,,,,,,,,,,,,,,,,,,,0.88,,,,13.77,8.32,,,76.23,100.00
HPT,HSBC PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Menkul Kıymet Yatırım Fonları,Borçlanma Araçları Şemsiye Fonu,4.0091,11.6899,25.5051,36.1598,49.5516,110.7038,164.5025,,0.0543,0.3661,"15,638,030,856","848,792,713.36",Borçlanma Araçları Fonu,"10,686",0.97,,29.75,2.93,,32.45,,,1.22,,,,,,,,,,,,,,0.76,,0.37,15.53,,,7.51,9.48,,,,,,,,100.00
GO4,FONERİA PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,Menkul Kıymet Yatırım Fonları,Fon Sepeti Şemsiye Fonu,0.7206,2.1173,12.6306,29.7879,49.5231,,,,2.7520,-0.1472,"22,271,159","61,289,294.71",Fon Sepeti Fonu,"1,412",0.09,5.78,,,,3.88,,0.87,,9.70,,,,,,,,,,,,,0.3,,,2.3,,,,,,0.06,,,,,77.11,100.00
YBS,YAPI KREDİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Menkul Kıymet Yatırım Fonları,Borçlanma Araçları Şemsiye Fonu,3.7535,10.8321,23.339,33.7316,49.4749,129.8633,196.8824,,0.0682,0.3430,"19,784,003,175","1,348,703,499.57",Borçlanma Araçları Fonu,"11,272",1.54,,,,,61.35,,,,,,,,,,,,,,,,,1.77,,1.13,28.52,,,0.05,0.06,0.23,2.92,,,,,3.97,100.00
GBC,AZİMUT PYŞ YABANCI BYF FON SEPETİ FONU,Menkul Kıymet Yatırım Fonları,Fon Sepeti Şemsiye Fonu,1.6434,0.0296,11.3881,27.2588,49.4672,299.5616,569.3674,,0.1752,-0.1453,"4,495,299,358","787,780,968.86",Yabancı Fon Sepeti Fonu,"2,903",1.14,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,99.58,,,,,100.00
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,1.6275,5.0158,10.0304,27.9576,49.4339,327.238,1140.3672,,0.4568,0.3070,"18,230,864,238","8,328,192,457.75",Hisse Senedi Fonu,"155,101",4.81,,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,2.88,,,,,94.6,,,,100.00
YLE,YAPI KREDİ PORTFÖY BIST SÜRDÜRÜLEBİLİRLİK ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-3.5201,-6.3582,21.3441,47.0993,49.4199,,,,6.1911,-0.7362,"88,127,513","545,604,165.87",Hisse Senedi Fonu,"6,198",0.32,,,,,,,,,96.53,,,,,,,,,,,,,,,,,,,1.92,,0.78,,,,,,0.77,100.00
HPO,HSBC PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,3.3879,9.0355,24.6332,35.6561,49.3979,177.2017,257.6134,,0.0860,0.5307,"5,795,835,497","498,414,277.69",Değişken Fon,"3,001",0.87,,6.17,9.45,,21.99,,,0.69,,,,,,,,,,,,,,,,0.75,14.45,,,10.76,14.07,1.95,,,,,,19.72,100.00
OTJ,OYAK PORTFÖY KIYMETLİ MADENLER FON SEPETİ FONU,Menkul Kıymet Yatırım Fonları,Fon Sepeti Şemsiye Fonu,6.5223,13.6867,19.5678,33.1591,49.3735,,,,2.9427,0.7084,"160,556,285","472,471,974.43",Fon Sepeti Fonu,"11,896",0.68,13.13,,,6.98,,,,,,,,,,,,,,,,,,,,3.79,,,,,,,,,67.35,,,8.75,100.00
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,-1.651,-2.4131,21.8442,42.0982,49.3084,524.5708,978.2469,,72.0783,-0.5782,"1,828,262","131,777,971.80",Değişken Fon,"2,109",0.23,,,1.76,5.38,8.47,,,,67.72,,,,,,,,,,,,,,,,6.03,,,,10.64,,,,,,,,100.00
KCV,KUVEYT TÜRK PORTFÖY ÇOKLU VARLIK KATILIM FONU,Menkul Kıymet Yatırım Fonları,Katılım Şemsiye Fonu,1.7022,7.4142,17.9719,36.768,49.245,,,,2.4114,-0.0649,"380,391,856","917,275,497.39",Karma Fon,"12,582",0.71,,,29.72,,,,,,18.01,,9.83,,,,,,,,,13.98,,,,6.64,,,,,,,,0.32,18.5,,,3,100.00
BTE,BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,2.041,1.8333,8.3878,28.49,49.1986,,,,2.2200,-0.3769,"122,142,965","271,162,140.54",Değişken Fon,"1,129",0.47,,,,,2.76,,3.77,,8.50,,,,,,,,,,,,1.93,,,,,,,1.89,,0.16,,5.33,63.04,,,12.62,100.00
FYO,QNB FİNANS PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Menkul Kıymet Yatırım Fonları,Borçlanma Araçları Şemsiye Fonu,4.0513,11.9069,25.2989,35.7256,49.177,123.9676,179.9114,,0.5452,0.3739,"672,918,406","366,888,103.61",Borçlanma Araçları Fonu,940,0.42,,,14.52,,60.37,,,,,,,,,,,,,,,,,1.08,,2.78,12.03,,,5.12,4.1,,,,,,,,100.00
IAU,PARDUS PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,4.937,11.1953,23.0397,33.5791,49.0684,,,,1.2631,0.1054,"8,897,464","11,238,819.32",Serbest Fon,110,0.00,,,33.48,,,,,,24.78,,,,,,,,,,,,,8.14,,,,,,,,33.6,,,,,,,100.00
TTE,İŞ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-7.5039,-6.4942,-17.82,31.8051,49.0385,440.5316,1624.8363,,0.7691,-0.5573,"3,185,803,176","2,450,228,850.44",Hisse Senedi Fonu,"77,377",1.42,,,,,,,,,94.55,,,,,,,,,,,,,,,,,,,,5.45,,,,,,,,100.00
SHE,TEB PORTFÖY ÖNCE KADIN DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,-1.4549,6.027,23.5384,42.6081,48.9941,,,,2.3361,0.0954,"37,757,749","88,204,560.13",Değişken Fon,"1,378",0.15,,,6.31,,3.38,,,,65.32,,,,,,,,,,,,,,,,4.74,,,2.97,,5.66,,7.43,,,,4.19,100.00
FPK,FİBA PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL)FONU,Menkul Kıymet Yatırım Fonları,Borçlanma Araçları Şemsiye Fonu,3.835,11.3971,24.8942,35.2162,48.9473,116.5405,176.1813,,0.0465,0.3847,"503,897,228","23,406,913.39",Borçlanma Araçları Fonu,904,0.03,,10.24,26.42,,51.1,,,,,,,,,,,,,,,,,2.06,,,2.22,,,7.96,,,,,,,,,100.00
YTD,YAPI KREDİ PORTFÖY YABANCI FON SEPETİ FONU,Menkul Kıymet Yatırım Fonları,Fon Sepeti Şemsiye Fonu,3.2023,12.0612,18.7156,29.2704,48.8387,354.1016,724.0321,,0.4655,0.0473,"1,519,666,110","707,400,338.30",Yabancı Fon Sepeti Fonu,"17,239",1.02,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,1.32,,82.41,,,,14.57,100.00
EKF,QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Menkul Kıymet Yatırım Fonları,Katılım Şemsiye Fonu,3.8373,11.7017,25.6265,37.0173,48.8324,194.4803,283.9185,,0.0644,0.3693,"7,039,569,207","453,420,796.30",Karma Fon,"2,081",0.35,,,,,,,,,,,14.55,,,,,0.11,,,,,,,,85.34,,,,,,,,,,,,,100.00
DBK,DENİZ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Menkul Kıymet Yatırım Fonları,Borçlanma Araçları Şemsiye Fonu,4.1249,12.0265,25.8523,36.499,48.815,117.1193,175.8526,,0.0556,0.4025,"4,690,657,156","260,911,060.45",Borçlanma Araçları Fonu,"89,790",0.30,,4.95,2.42,,44.17,,,,,,,,,,,,,,,,,,,,26.84,,,2.5,16.49,,2.63,,,,,,100.00
GA1,GARANTİ PORTFÖY BORÇLANMA ARAÇLARI FONU,Menkul Kıymet Yatırım Fonları,Borçlanma Araçları Şemsiye Fonu,3.1025,10.1809,23.1972,33.1814,48.7167,142.7008,214.4275,,1109.3181,0.5968,"156,477","173,582,764.86",Borçlanma Araçları Fonu,"1,088",0.20,,50.61,,,29.88,,,,,,,,,,,,,,,,,,,3.93,13.96,,,0.23,,,1.39,,,,,,100.00
ICV,ICBC TURKEY PORTFÖY BİRİNCİ SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,3.502,8.9785,18.9178,34.2953,48.7042,167.1625,,,2.9785,0.5940,"2,984,278","8,888,721.82",Serbest Fon,31,0.00,,,,,41.94,,,,5.01,,,,,,,,,,,,,,,,0.12,,,5.32,11.15,5.56,5.25,,,,,25.65,100.00
VFK,ZİRAAT PORTFÖY İKİNCİ KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Menkul Kıymet Yatırım Fonları,Katılım Şemsiye Fonu,3.704,11.1961,24.4524,34.9419,48.6998,120.7225,,,2.6170,0.3495,"647,525,159","1,694,589,235.54",Kısa Vadeli Kira Sertifikaları Katılım Fonu,"3,371",1.32,,,,,,,,,,,15.36,,,,,,,,,,,,,84.64,,,,,,,,,,,,,100.00
KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Menkul Kıymet Yatırım Fonları,Katılım Şemsiye Fonu,3.7384,11.22,24.8749,35.4383,48.6401,115.4254,,,2.3393,0.3455,"18,971,456,838","44,380,632,871.90",Katılım Fonu,"60,810",34.54,,,33.60,,,,,,,,41.30,,,,,,,,,,,,,25.1,,,,,,,,,,,,,100.00
PRU,ALLBATROSS PORTFÖY KISA VADELİ SERBEST (TL) FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,4.1809,11.2272,22.8383,33.3845,48.3123,,,,1.4993,0.3801,"132,454,488","198,591,703.11",Serbest Fon,47,0.01,,,,,62.71,,,,,,,,,,,,,,,,,,,,,,,0.93,36.36,,,,,,,,100.00
GPB,GARANTİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,2.784,9.2611,23.5597,34.0024,48.3011,135.956,226.1132,,6.0158,0.2982,"130,084,871","782,561,698.12",Değişken Fon,"11,356",1.36,,18.95,,,23.67,,,,12.06,,,,,,,,,,,,,0.65,0.22,3.76,23.76,,,4.48,,9.07,0.24,,,,,3.14,100.00
GL1,AZİMUT PYŞ BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-4.9905,-9.12,23.3398,42.2827,48.2494,793.2072,1595.4783,,950.3012,0.3571,"4,096,109","3,892,537,463.08",Hisse Senedi Fonu,"2,410",2.25,,,,,,,,,96.56,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,2.19,100.00
ZCD,ZİRAAT PORTFÖY ALTINCI SERBEST (TL) FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,5.7156,7.779,29.3011,36.0736,48.1664,,,,2.3032,0.6571,"257,331,920","592,688,444.78",Serbest Fon,70,0.03,,,,,,,,,21.21,,,,,,,,,,,,,39.43,,,,,,,27.25,,0.64,,,,,11.47,100.00
OKD,OYAK PORTFÖY BİRİNCİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,-0.4225,-0.313,18.5033,44.1338,48.1508,526.883,965.2087,,0.3423,-0.2748,"235,697,679","80,669,417.54",Değişken Fon,"1,714",0.14,,,5.14,,21.38,,,,69.68,,,,,,,,,,,,,,,,2.09,,,,,,,,,,,1.71,100.00
ZDD,ZİRAAT PORTFÖY TEMKİNLİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,1.241,6.2852,22.4227,38.1026,48.1187,191.8848,,,3.7853,0.1343,"77,349,988","292,795,956.24",Değişken Fon,"1,306",0.51,1.65,,,,5.69,,,,13.12,,,,,,,,1.6,,,,,4.87,,,11.16,,,,50.35,2.19,,,,,,9.37,100.00
